"","Gene_ID","exons.x","genes.x","introns.x","exons.y","genes.y","introns.y"
"1302","ENSMUSG00000033396",629,0,0,0,856,0
"1303","ENSMUSG00000027233",6,0,0,0,16,0
"1304","ENSMUSG00000060802",579,0,0,NA,NA,NA
"1305","ENSMUSG00000033368",1,0,0,NA,NA,NA
"1306","ENSMUSG00000070692",4,0,0,0,4,0
"1307","ENSMUSG00000027227",379,0,0,0,443,0
"1308","ENSMUSG00000068452",1,0,0,0,2,0
"1309","ENSMUSG00000027224",1,0,0,0,1,0
"1310","ENSMUSG00000033268",10,0,0,0,17,0
"1311","ENSMUSG00000033256",427,0,0,0,499,0
"1312","ENSMUSG00000088506",2,0,0,0,2,0
"1313","ENSMUSG00000027219",1,0,0,0,1,0
"1314","ENSMUSG00000081219",13,0,0,0,13,0
"1315","ENSMUSG00000027199",1803,0,0,0,2159,0
"1316","ENSMUSG00000074876",31,0,0,0,34,0
"1317","ENSMUSG00000033213",1,0,0,0,1,0
"1318","ENSMUSG00000005802",1350,0,0,0,1381,0
"1319","ENSMUSG00000087017",3,0,0,0,14,0
"1320","ENSMUSG00000085633",1,0,0,0,2,0
"1321","ENSMUSG00000005804",650,0,0,0,706,0
"1322","ENSMUSG00000005803",86,0,0,0,96,0
"1323","ENSMUSG00000027200",1779,0,0,0,2606,0
"1324","ENSMUSG00000085496",1,0,0,NA,NA,NA
"1325","ENSMUSG00000086954",1,0,0,NA,NA,NA
"1326","ENSMUSG00000035183",71,0,0,0,242,0
"1327","ENSMUSG00000027201",1403,0,0,0,1835,0
"1328","ENSMUSG00000087056",54,0,0,0,146,0
"1329","ENSMUSG00000074872",165,0,0,0,179,0
"1330","ENSMUSG00000027202",14,0,0,0,28,0
"1331","ENSMUSG00000086416",5,0,0,NA,NA,NA
"1332","ENSMUSG00000027203",349,0,0,0,433,0
"1333","ENSMUSG00000027204",120,0,0,0,156,0
"1334","ENSMUSG00000068394",133,0,0,0,204,0
"1335","ENSMUSG00000035109",126,0,0,0,194,0
"1336","ENSMUSG00000091337",2654,0,0,NA,NA,NA
"1337","ENSMUSG00000035093",2898,0,0,0,3037,0
"1338","ENSMUSG00000027206",2016,0,0,0,2178,0
"1339","ENSMUSG00000027207",337,0,0,0,471,0
"1340","ENSMUSG00000027209",13,0,0,0,148,0
"1341","ENSMUSG00000027208",29,0,0,NA,NA,NA
"1342","ENSMUSG00000065084",1,0,0,NA,NA,NA
"1343","ENSMUSG00000023330",135,0,0,0,216,0
"1344","ENSMUSG00000027359",179,0,0,0,294,0
"1345","ENSMUSG00000027360",49,0,0,0,54,0
"1346","ENSMUSG00000027361",345,0,0,0,753,0
"1347","ENSMUSG00000098024",19,0,0,0,276,0
"1348","ENSMUSG00000027363",1367,0,0,0,21,0
"1349","ENSMUSG00000027364",48,0,0,0,22,0
"1350","ENSMUSG00000027365",1322,0,0,0,1630,0
"1351","ENSMUSG00000081894",2,0,0,NA,NA,NA
"1352","ENSMUSG00000027366",1365,0,0,0,1569,0
"1353","ENSMUSG00000098896",2,0,0,NA,NA,NA
"1354","ENSMUSG00000001998",385,0,0,0,555,0
"1355","ENSMUSG00000092918",1,0,0,NA,NA,NA
"1356","ENSMUSG00000001999",208,0,0,0,283,0
"1357","ENSMUSG00000034906",28,0,0,0,42,0
"1358","ENSMUSG00000074825",40,0,0,0,40,0
"1359","ENSMUSG00000044145",17,0,0,0,41,0
"1360","ENSMUSG00000003660",2804,0,0,0,2881,0
"1361","ENSMUSG00000003662",978,0,0,0,1005,0
"1362","ENSMUSG00000034850",2245,0,0,0,2363,0
"1363","ENSMUSG00000103957",15,0,0,0,15,0
"1364","ENSMUSG00000027367",1657,0,0,0,1836,0
"1365","ENSMUSG00000027368",14,0,0,0,14,0
"1366","ENSMUSG00000050468",1,0,0,0,1,0
"1367","ENSMUSG00000058620",54,0,0,0,54,0
"1368","ENSMUSG00000046338",23,0,0,0,36,0
"1369","ENSMUSG00000027371",268,0,0,0,331,0
"1370","ENSMUSG00000079056",1631,0,0,0,2417,0
"1371","ENSMUSG00000084628",12,0,0,NA,NA,NA
"1372","ENSMUSG00000027376",9,0,0,0,15,0
"1373","ENSMUSG00000034800",147,0,0,0,185,0
"1374","ENSMUSG00000027374",771,0,0,0,881,0
"1375","ENSMUSG00000027375",5892,0,0,0,6100,0
"1376","ENSMUSG00000027377",7,0,0,0,7,0
"1377","ENSMUSG00000027378",286,0,0,0,450,0
"1378","ENSMUSG00000051319",267,0,0,0,268,0
"1379","ENSMUSG00000027379",22,0,0,0,24,0
"1380","ENSMUSG00000027381",71,0,0,0,80,0
"1381","ENSMUSG00000074813",5,0,0,0,38,0
"1382","ENSMUSG00000082350",1,0,0,0,1,0
"1383","ENSMUSG00000109931",2,0,0,0,6,0
"1384","ENSMUSG00000014355",2131,0,0,0,2333,0
"1385","ENSMUSG00000014361",871,0,0,0,1477,0
"1386","ENSMUSG00000087785",3,0,0,NA,NA,NA
"1387","ENSMUSG00000014353",921,0,0,0,1080,0
"1388","ENSMUSG00000027386",25,0,0,0,32,0
"1389","ENSMUSG00000027387",95,0,0,0,138,0
"1390","ENSMUSG00000074807",42,0,0,0,41,0
"1391","ENSMUSG00000042851",413,0,0,0,415,0
"1392","ENSMUSG00000090248",9,0,0,0,27,0
"1393","ENSMUSG00000079051",29,0,0,0,122,0
"1394","ENSMUSG00000087151",5,0,0,0,16,0
"1395","ENSMUSG00000027394",1261,0,0,0,1333,0
"1396","ENSMUSG00000027395",356,0,0,0,394,0
"1397","ENSMUSG00000037938",133,0,0,0,144,0
"1398","ENSMUSG00000084826",5,0,0,0,8,0
"1399","ENSMUSG00000082274",72,0,0,NA,NA,NA
"1400","ENSMUSG00000086652",2,0,0,0,2,0
"1401","ENSMUSG00000103532",12,0,0,0,12,0
"1402","ENSMUSG00000103009",76,0,0,0,67,0
"1403","ENSMUSG00000027397",2084,0,0,0,1059,0
"1404","ENSMUSG00000087528",99,0,0,0,1,0
"1405","ENSMUSG00000056738",8,0,0,0,9,0
"1406","ENSMUSG00000048327",36,0,0,0,42,0
"1407","ENSMUSG00000085498",7,0,0,0,1,0
"1408","ENSMUSG00000027399",9,0,0,0,4,0
"1409","ENSMUSG00000027398",2,0,0,0,5,0
"1410","ENSMUSG00000074805",1,0,0,0,2,0
"1411","ENSMUSG00000081888",2,0,0,0,2,0
"1412","ENSMUSG00000087015",1,0,0,0,2,0
"1413","ENSMUSG00000037902",6316,0,0,0,6814,0
"1414","ENSMUSG00000027400",3028,0,0,0,3227,0
"1415","ENSMUSG00000084328",2,0,0,0,2,0
"1416","ENSMUSG00000037885",667,0,0,0,750,0
"1417","ENSMUSG00000100255",3,0,0,0,3,0
"1418","ENSMUSG00000027401",5,0,0,0,6,0
"1419","ENSMUSG00000074804",1,0,0,0,1,0
"1420","ENSMUSG00000027403",7,0,0,0,10,0
"1421","ENSMUSG00000027404",651,0,0,0,706,0
"1422","ENSMUSG00000060332",2,0,0,0,14,0
"1423","ENSMUSG00000027405",1296,0,0,0,1298,0
"1424","ENSMUSG00000080610",1,0,0,NA,NA,NA
"1425","ENSMUSG00000027406",2885,0,0,0,2931,0
"1426","ENSMUSG00000053552",186,0,0,0,389,0
"1427","ENSMUSG00000083483",3,0,0,0,3,0
"1428","ENSMUSG00000027408",101,0,0,0,108,0
"1429","ENSMUSG00000082985",22,0,0,0,22,0
"1430","ENSMUSG00000100963",3,0,0,0,10,0
"1431","ENSMUSG00000027409",5,0,0,NA,NA,NA
"1432","ENSMUSG00000049692",2,0,0,NA,NA,NA
"1433","ENSMUSG00000037773",398,0,0,0,444,0
"1434","ENSMUSG00000027411",896,0,0,0,953,0
"1435","ENSMUSG00000027303",2382,0,0,0,1817,0
"1436","ENSMUSG00000115955",11,0,0,NA,NA,NA
"1437","ENSMUSG00000077004",2,0,0,NA,NA,NA
"1438","ENSMUSG00000060029",24,0,0,0,146,0
"1439","ENSMUSG00000037740",616,0,0,0,625,0
"1440","ENSMUSG00000027301",6,0,0,0,6,0
"1441","ENSMUSG00000037727",3,0,0,0,3,0
"1442","ENSMUSG00000027300",249,0,0,0,314,0
"1443","ENSMUSG00000079043",98,0,0,NA,NA,NA
"1444","ENSMUSG00000037703",7513,0,0,0,7781,0
"1445","ENSMUSG00000068290",835,0,0,0,993,0
"1446","ENSMUSG00000074797",815,0,0,0,952,0
"1447","ENSMUSG00000074796",137,0,0,0,149,0
"1448","ENSMUSG00000084694",1,0,0,0,1,0
"1449","ENSMUSG00000027309",3224,0,0,0,4683,0
"1450","ENSMUSG00000089662",9,0,0,NA,NA,NA
"1451","ENSMUSG00000085566",277,0,0,NA,NA,NA
"1452","ENSMUSG00000027312",4787,0,0,0,5091,0
"1453","ENSMUSG00000083953",3,0,0,NA,NA,NA
"1454","ENSMUSG00000027316",686,0,0,0,688,0
"1455","ENSMUSG00000027318",10,0,0,0,10,0
"1456","ENSMUSG00000027322",9,0,0,0,9,0
"1457","ENSMUSG00000074793",147,0,0,0,175,0
"1458","ENSMUSG00000027327",1359,0,0,0,1455,0
"1459","ENSMUSG00000087405",6,0,0,0,4,0
"1460","ENSMUSG00000027329",149,0,0,0,168,0
"1461","ENSMUSG00000068267",2243,0,0,NA,NA,NA
"1462","ENSMUSG00000027330",228,0,0,0,250,0
"1463","ENSMUSG00000068264",224,0,0,0,241,0
"1464","ENSMUSG00000037523",166,0,0,0,171,0
"1465","ENSMUSG00000037514",771,0,0,0,1369,0
"1466","ENSMUSG00000065563",6,0,0,NA,NA,NA
"1467","ENSMUSG00000048911",721,0,0,0,743,0
"1468","ENSMUSG00000082044",11,0,0,NA,NA,NA
"1469","ENSMUSG00000027333",654,0,0,0,865,0
"1470","ENSMUSG00000027335",23,0,0,0,17,0
"1471","ENSMUSG00000087524",1,0,0,0,5,0
"1472","ENSMUSG00000086822",49,0,0,0,72,0
"1473","ENSMUSG00000083469",1,0,0,NA,NA,NA
"1474","ENSMUSG00000037482",2,0,0,0,2,0
"1475","ENSMUSG00000079037",10713,0,0,NA,NA,NA
"1476","ENSMUSG00000027339",1111,0,0,0,1161,0
"1477","ENSMUSG00000027340",2759,0,0,0,3077,0
"1478","ENSMUSG00000082990",3,0,0,NA,NA,NA
"1479","ENSMUSG00000086756",1,0,0,0,10,0
"1480","ENSMUSG00000027341",459,0,0,0,520,0
"1481","ENSMUSG00000027342",544,0,0,0,557,0
"1482","ENSMUSG00000087377",5,0,0,0,17,0
"1483","ENSMUSG00000058793",11455,0,0,0,11593,0
"1484","ENSMUSG00000050558",83,0,0,0,106,0
"1485","ENSMUSG00000027345",1,0,0,0,1,0
"1486","ENSMUSG00000027346",2136,0,0,0,2837,0
"1487","ENSMUSG00000074783",1,0,0,0,3,0
"1488","ENSMUSG00000044991",124,0,0,0,292,0
"1489","ENSMUSG00000084839",3,0,0,NA,NA,NA
"1490","ENSMUSG00000027350",4554,0,0,0,4669,0
"1491","ENSMUSG00000037376",471,0,0,0,560,0
"1492","ENSMUSG00000027353",91,0,0,0,130,0
"1493","ENSMUSG00000086575",2,0,0,0,2,0
"1494","ENSMUSG00000027357",393,0,0,0,528,0
"1495","ENSMUSG00000043110",15,0,0,0,15,0
"1496","ENSMUSG00000027356",2,0,0,0,3,0
"1497","ENSMUSG00000027358",148,0,0,0,154,0
"1498","ENSMUSG00000027261",2,0,0,0,4,0
"1499","ENSMUSG00000034723",5320,0,0,0,5377,0
"1500","ENSMUSG00000083879",11,0,0,0,11,0
"1501","ENSMUSG00000051177",6009,0,0,0,3820,0
"1502","ENSMUSG00000082399",387,0,0,NA,NA,NA
"1503","ENSMUSG00000085247",14,0,0,NA,NA,NA
"1504","ENSMUSG00000085631",4,0,0,0,76,0
"1505","ENSMUSG00000039943",927,0,0,0,1243,0
"1506","ENSMUSG00000027270",1709,0,0,0,1850,0
"1507","ENSMUSG00000039913",538,0,0,0,918,0
"1508","ENSMUSG00000082647",1,0,0,0,1,0
"1509","ENSMUSG00000074771",42,0,0,0,125,0
"1510","ENSMUSG00000027273",29517,0,0,0,33819,0
"1511","ENSMUSG00000082849",6,0,0,NA,NA,NA
"1512","ENSMUSG00000027274",337,0,0,0,374,0
"1513","ENSMUSG00000027281",293,0,0,0,502,0
"1514","ENSMUSG00000027276",179,0,0,0,210,0
"1515","ENSMUSG00000085504",1,0,0,0,4,0
"1516","ENSMUSG00000086214",1,0,0,0,1,0
"1517","ENSMUSG00000062098",2147,0,0,0,2297,0
"1518","ENSMUSG00000085911",2,0,0,0,17,0
"1519","ENSMUSG00000085071",46,0,0,0,437,0
"1520","ENSMUSG00000039092",4,0,0,NA,NA,NA
"1521","ENSMUSG00000074766",85,0,0,0,104,0
"1522","ENSMUSG00000039033",442,0,0,0,733,0
"1523","ENSMUSG00000080006",4,0,0,0,4,0
"1524","ENSMUSG00000045624",488,0,0,0,541,0
"1525","ENSMUSG00000078197",3,0,0,NA,NA,NA
"1526","ENSMUSG00000027384",441,0,0,0,806,0
"1527","ENSMUSG00000068205",1205,0,0,0,3886,0
"1528","ENSMUSG00000051379",1302,0,0,NA,NA,NA
"1529","ENSMUSG00000081731",2,0,0,NA,NA,NA
"1530","ENSMUSG00000083274",3,0,0,NA,NA,NA
"1531","ENSMUSG00000074763",6,0,0,NA,NA,NA
"1532","ENSMUSG00000086450",9,0,0,NA,NA,NA
"1533","ENSMUSG00000065347",4,0,0,NA,NA,NA
"1534","ENSMUSG00000082412",1,0,0,NA,NA,NA
"1535","ENSMUSG00000089318",1,0,0,NA,NA,NA
"1536","ENSMUSG00000038844",258,0,0,0,415,0
"1537","ENSMUSG00000008333",342,0,0,0,403,0
"1538","ENSMUSG00000080895",2,0,0,0,2,0
"1539","ENSMUSG00000086171",70,0,0,0,75,0
"1540","ENSMUSG00000027419",5937,0,0,0,5838,0
"1541","ENSMUSG00000087115",60,0,0,NA,NA,NA
"1542","ENSMUSG00000027420",18,0,0,0,19,0
"1543","ENSMUSG00000015932",2415,0,0,0,2467,0
"1544","ENSMUSG00000027422",1092,0,0,0,1264,0
"1545","ENSMUSG00000086384",2,0,0,NA,NA,NA
"1546","ENSMUSG00000074758",43,0,0,0,315,0
"1547","ENSMUSG00000082480",146,0,0,NA,NA,NA
"1548","ENSMUSG00000027423",1409,0,0,0,1530,0
"1549","ENSMUSG00000082436",3,0,0,NA,NA,NA
"1550","ENSMUSG00000065725",1,0,0,NA,NA,NA
"1551","ENSMUSG00000077714",1,0,0,NA,NA,NA
"1552","ENSMUSG00000027424",72,0,0,0,82,0
"1553","ENSMUSG00000037279",10,0,0,0,16,0
"1554","ENSMUSG00000082313",6,0,0,0,6,0
"1555","ENSMUSG00000027425",426,0,0,0,483,0
"1556","ENSMUSG00000083674",73,0,0,0,101,0
"1557","ENSMUSG00000037259",7589,0,0,0,1221,0
"1558","ENSMUSG00000027427",560,0,0,0,589,0
"1559","ENSMUSG00000027428",505,0,0,0,547,0
"1560","ENSMUSG00000027429",671,0,0,0,778,0
"1561","ENSMUSG00000074754",164,0,0,0,164,0
"1562","ENSMUSG00000027430",679,0,0,0,916,0
"1563","ENSMUSG00000084306",4,0,0,NA,NA,NA
"1564","ENSMUSG00000027431",2,0,0,0,2,0
"1565","ENSMUSG00000063873",1740,0,0,0,2142,0
"1566","ENSMUSG00000087158",1,0,0,NA,NA,NA
